2026-01-15 19:32:46 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:32:46 | INFO     | analysis.technical.indicators:__init__:26 | Инициализация технических индикаторов
2026-01-15 19:32:46 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:32:46 | INFO     | analysis.patterns.basic_patterns:__init__:66 | Инициализация детектора графических паттернов (полная версия)
2026-01-15 19:32:46 | INFO     | analysis.patterns.basic_patterns:__init__:66 | Инициализация детектора графических паттернов (полная версия)
2026-01-15 19:32:46 | INFO     | analysis.elliott.waves:__init__:53 | Инициализация анализатора волн Эллиота
2026-01-15 19:32:46 | INFO     | analysis.elliott.waves:__init__:53 | Инициализация анализатора волн Эллиота
2026-01-15 19:32:46 | INFO     | analysis.gaps.analyzer:__init__:52 | Инициализация анализатора гэпов
2026-01-15 19:32:46 | INFO     | analysis.gaps.analyzer:__init__:52 | Инициализация анализатора гэпов
2026-01-15 19:32:46 | INFO     | analysis.imbalances.analyzer:__init__:50 | Инициализация анализатора имбалансов
2026-01-15 19:32:46 | INFO     | analysis.imbalances.analyzer:__init__:50 | Инициализация анализатора имбалансов
2026-01-15 19:32:46 | INFO     | analysis.orderbook.analyzer:__init__:57 | Инициализация анализатора стакана
2026-01-15 19:32:46 | INFO     | analysis.orderbook.analyzer:__init__:57 | Инициализация анализатора стакана
2026-01-15 19:32:46 | INFO     | analysis.probability_calculator:__init__:54 | Инициализация калькулятора вероятности
2026-01-15 19:32:46 | INFO     | analysis.probability_calculator:__init__:55 | Веса модулей: Тех.анализ 20%, Паттерны 25%, Эллиот 15%
2026-01-15 19:32:46 | INFO     | data.history:__init__:47 | Инициализация исторических данных. Директория: C:\Users\vladp\Desktop\futures_bot\data\historical
2026-01-15 19:32:46 | INFO     | analysis.analyzer:__init__:35 | Инициализация комплексного анализатора рынка
2026-01-15 19:32:46 | INFO     | core.scheduler:__init__:35 | Инициализация планировщика анализа
2026-01-15 19:34:28 | INFO     | utils.logger:_setup_file_logging:87 | Логирование в файл настроено: logs\bot.log
2026-01-15 19:34:28 | INFO     | core.api_client:__init__:35 | Инициализация T-Tech API клиента
2026-01-15 19:34:28 | INFO     | core.api_client:__init__:36 |   Режим: ПЕСОЧНИЦА
2026-01-15 19:34:28 | INFO     | core.api_client:__init__:37 |   Target: sandbox-invest-public-api.tinkoff.ru:443
2026-01-15 19:34:28 | DEBUG    | core.portfolio:_load_stats:70 | Загружена история из C:\Users\vladp\Desktop\futures_bot\data\portfolio_stats.json
2026-01-15 19:34:28 | INFO     | core.portfolio:__init__:61 | Инициализация портфеля. Депозит: 10000.00₽
2026-01-15 19:34:28 | INFO     | core.time_manager:__init__:21 | Настроено 3 торговых сессий
2026-01-15 19:34:29 | INFO     | data.history:__init__:47 | Инициализация исторических данных. Директория: C:\Users\vladp\Desktop\futures_bot\data\historical
2026-01-15 19:34:29 | INFO     | analysis.technical.indicators:__init__:26 | Инициализация технических индикаторов
2026-01-15 19:34:29 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:34:29 | INFO     | analysis.technical.indicators:__init__:26 | Инициализация технических индикаторов
2026-01-15 19:34:29 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:34:29 | INFO     | analysis.patterns.basic_patterns:__init__:66 | Инициализация детектора графических паттернов (полная версия)
2026-01-15 19:34:29 | INFO     | analysis.patterns.basic_patterns:__init__:66 | Инициализация детектора графических паттернов (полная версия)
2026-01-15 19:34:29 | INFO     | analysis.elliott.waves:__init__:53 | Инициализация анализатора волн Эллиота
2026-01-15 19:34:29 | INFO     | analysis.elliott.waves:__init__:53 | Инициализация анализатора волн Эллиота
2026-01-15 19:34:29 | INFO     | analysis.gaps.analyzer:__init__:52 | Инициализация анализатора гэпов
2026-01-15 19:34:29 | INFO     | analysis.gaps.analyzer:__init__:52 | Инициализация анализатора гэпов
2026-01-15 19:34:29 | INFO     | analysis.imbalances.analyzer:__init__:50 | Инициализация анализатора имбалансов
2026-01-15 19:34:29 | INFO     | analysis.imbalances.analyzer:__init__:50 | Инициализация анализатора имбалансов
2026-01-15 19:34:29 | INFO     | analysis.orderbook.analyzer:__init__:57 | Инициализация анализатора стакана
2026-01-15 19:34:29 | INFO     | analysis.orderbook.analyzer:__init__:57 | Инициализация анализатора стакана
2026-01-15 19:34:29 | INFO     | analysis.probability_calculator:__init__:54 | Инициализация калькулятора вероятности
2026-01-15 19:34:29 | INFO     | analysis.probability_calculator:__init__:55 | Веса модулей: Тех.анализ 20%, Паттерны 25%, Эллиот 15%
2026-01-15 19:34:29 | INFO     | data.history:__init__:47 | Инициализация исторических данных. Директория: C:\Users\vladp\Desktop\futures_bot\data\historical
2026-01-15 19:34:29 | INFO     | analysis.analyzer:__init__:35 | Инициализация комплексного анализатора рынка
2026-01-15 19:34:29 | INFO     | core.scheduler:__init__:35 | Инициализация планировщика анализа
2026-01-15 19:35:21 | INFO     | utils.logger:_setup_file_logging:87 | Логирование в файл настроено: logs\bot.log
2026-01-15 19:35:21 | INFO     | core.api_client:__init__:35 | Инициализация T-Tech API клиента
2026-01-15 19:35:21 | INFO     | core.api_client:__init__:36 |   Режим: ПЕСОЧНИЦА
2026-01-15 19:35:21 | INFO     | core.api_client:__init__:37 |   Target: sandbox-invest-public-api.tinkoff.ru:443
2026-01-15 19:35:21 | DEBUG    | core.portfolio:_load_stats:70 | Загружена история из C:\Users\vladp\Desktop\futures_bot\data\portfolio_stats.json
2026-01-15 19:35:21 | INFO     | core.portfolio:__init__:61 | Инициализация портфеля. Депозит: 10000.00₽
2026-01-15 19:35:21 | INFO     | core.time_manager:__init__:21 | Настроено 3 торговых сессий
2026-01-15 19:35:21 | INFO     | data.history:__init__:47 | Инициализация исторических данных. Директория: C:\Users\vladp\Desktop\futures_bot\data\historical
2026-01-15 19:35:21 | INFO     | analysis.technical.indicators:__init__:26 | Инициализация технических индикаторов
2026-01-15 19:35:21 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:35:21 | INFO     | analysis.technical.indicators:__init__:26 | Инициализация технических индикаторов
2026-01-15 19:35:21 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:35:21 | INFO     | analysis.patterns.basic_patterns:__init__:66 | Инициализация детектора графических паттернов (полная версия)
2026-01-15 19:35:21 | INFO     | analysis.patterns.basic_patterns:__init__:66 | Инициализация детектора графических паттернов (полная версия)
2026-01-15 19:35:21 | INFO     | analysis.elliott.waves:__init__:53 | Инициализация анализатора волн Эллиота
2026-01-15 19:35:21 | INFO     | analysis.elliott.waves:__init__:53 | Инициализация анализатора волн Эллиота
2026-01-15 19:35:21 | INFO     | analysis.gaps.analyzer:__init__:52 | Инициализация анализатора гэпов
2026-01-15 19:35:21 | INFO     | analysis.gaps.analyzer:__init__:52 | Инициализация анализатора гэпов
2026-01-15 19:35:21 | INFO     | analysis.imbalances.analyzer:__init__:50 | Инициализация анализатора имбалансов
2026-01-15 19:35:21 | INFO     | analysis.imbalances.analyzer:__init__:50 | Инициализация анализатора имбалансов
2026-01-15 19:35:21 | INFO     | analysis.orderbook.analyzer:__init__:57 | Инициализация анализатора стакана
2026-01-15 19:35:21 | INFO     | analysis.orderbook.analyzer:__init__:57 | Инициализация анализатора стакана
2026-01-15 19:35:21 | INFO     | analysis.probability_calculator:__init__:54 | Инициализация калькулятора вероятности
2026-01-15 19:35:21 | INFO     | analysis.probability_calculator:__init__:55 | Веса модулей: Тех.анализ 20%, Паттерны 25%, Эллиот 15%
2026-01-15 19:35:21 | INFO     | data.history:__init__:47 | Инициализация исторических данных. Директория: C:\Users\vladp\Desktop\futures_bot\data\historical
2026-01-15 19:35:21 | INFO     | analysis.analyzer:__init__:35 | Инициализация комплексного анализатора рынка
2026-01-15 19:35:21 | INFO     | core.scheduler:__init__:35 | Инициализация планировщика анализа
2026-01-15 19:36:03 | INFO     | utils.logger:_setup_file_logging:87 | Логирование в файл настроено: logs\bot.log
2026-01-15 19:36:03 | INFO     | core.api_client:__init__:35 | Инициализация T-Tech API клиента
2026-01-15 19:36:03 | INFO     | core.api_client:__init__:36 |   Режим: ПЕСОЧНИЦА
2026-01-15 19:36:03 | INFO     | core.api_client:__init__:37 |   Target: sandbox-invest-public-api.tinkoff.ru:443
2026-01-15 19:36:03 | DEBUG    | core.portfolio:_load_stats:70 | Загружена история из C:\Users\vladp\Desktop\futures_bot\data\portfolio_stats.json
2026-01-15 19:36:03 | INFO     | core.portfolio:__init__:61 | Инициализация портфеля. Депозит: 10000.00₽
2026-01-15 19:36:03 | INFO     | core.time_manager:__init__:21 | Настроено 3 торговых сессий
2026-01-15 19:36:03 | INFO     | data.history:__init__:47 | Инициализация исторических данных. Директория: C:\Users\vladp\Desktop\futures_bot\data\historical
2026-01-15 19:36:03 | INFO     | analysis.technical.indicators:__init__:26 | Инициализация технических индикаторов
2026-01-15 19:36:03 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:36:03 | INFO     | analysis.technical.indicators:__init__:26 | Инициализация технических индикаторов
2026-01-15 19:36:03 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:36:03 | INFO     | analysis.patterns.basic_patterns:__init__:66 | Инициализация детектора графических паттернов (полная версия)
2026-01-15 19:36:03 | INFO     | analysis.patterns.basic_patterns:__init__:66 | Инициализация детектора графических паттернов (полная версия)
2026-01-15 19:36:03 | INFO     | analysis.elliott.waves:__init__:53 | Инициализация анализатора волн Эллиота
2026-01-15 19:36:03 | INFO     | analysis.elliott.waves:__init__:53 | Инициализация анализатора волн Эллиота
2026-01-15 19:36:03 | INFO     | analysis.gaps.analyzer:__init__:52 | Инициализация анализатора гэпов
2026-01-15 19:36:03 | INFO     | analysis.gaps.analyzer:__init__:52 | Инициализация анализатора гэпов
2026-01-15 19:36:03 | INFO     | analysis.imbalances.analyzer:__init__:50 | Инициализация анализатора имбалансов
2026-01-15 19:36:03 | INFO     | analysis.imbalances.analyzer:__init__:50 | Инициализация анализатора имбалансов
2026-01-15 19:36:03 | INFO     | analysis.orderbook.analyzer:__init__:57 | Инициализация анализатора стакана
2026-01-15 19:36:03 | INFO     | analysis.orderbook.analyzer:__init__:57 | Инициализация анализатора стакана
2026-01-15 19:36:03 | INFO     | analysis.probability_calculator:__init__:54 | Инициализация калькулятора вероятности
2026-01-15 19:36:03 | INFO     | analysis.probability_calculator:__init__:55 | Веса модулей: Тех.анализ 20%, Паттерны 25%, Эллиот 15%
2026-01-15 19:36:03 | INFO     | data.history:__init__:47 | Инициализация исторических данных. Директория: C:\Users\vladp\Desktop\futures_bot\data\historical
2026-01-15 19:36:03 | INFO     | analysis.analyzer:__init__:35 | Инициализация комплексного анализатора рынка
2026-01-15 19:36:03 | INFO     | core.scheduler:__init__:35 | Инициализация планировщика анализа
2026-01-15 19:36:04 | ERROR    | core.api_client:connect:50 | Ошибка подключения к T-Tech API: 'Client' object has no attribute 'users'
2026-01-15 19:36:04 | ERROR    | core.api_client:test_connection:169 | ❌ Ошибка подключения к T-Tech API: 'Client' object has no attribute 'users'
2026-01-15 19:44:17 | INFO     | utils.logger:_setup_file_logging:87 | Логирование в файл настроено: logs\bot.log
2026-01-15 19:44:17 | INFO     | core.api_client:__init__:35 | Инициализация T-Tech API клиента
2026-01-15 19:44:17 | INFO     | core.api_client:__init__:36 |   Режим: ПЕСОЧНИЦА
2026-01-15 19:44:17 | INFO     | core.api_client:__init__:37 |   Target: sandbox-invest-public-api.tinkoff.ru:443
2026-01-15 19:44:17 | DEBUG    | core.portfolio:_load_stats:70 | Загружена история из C:\Users\vladp\Desktop\futures_bot\data\portfolio_stats.json
2026-01-15 19:44:17 | INFO     | core.portfolio:__init__:61 | Инициализация портфеля. Депозит: 10000.00₽
2026-01-15 19:44:17 | INFO     | core.time_manager:__init__:21 | Настроено 3 торговых сессий
2026-01-15 19:44:17 | INFO     | data.history:__init__:47 | Инициализация исторических данных. Директория: C:\Users\vladp\Desktop\futures_bot\data\historical
2026-01-15 19:44:17 | INFO     | analysis.technical.indicators:__init__:26 | Инициализация технических индикаторов
2026-01-15 19:44:17 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:44:17 | INFO     | analysis.technical.indicators:__init__:26 | Инициализация технических индикаторов
2026-01-15 19:44:17 | INFO     | analysis.technical.psychological:__init__:27 | Инициализация анализатора психологических уровней
2026-01-15 19:44:17 | INFO     | analysis.patterns.basic_patterns:__init__:66 | Инициализация детектора графических паттернов (полная версия)
2026-01-15 19:44:17 | INFO     | analysis.patterns.basic_patterns:__init__:66 | Инициализация детектора графических паттернов (полная версия)
2026-01-15 19:44:17 | INFO     | analysis.elliott.waves:__init__:53 | Инициализация анализатора волн Эллиота
2026-01-15 19:44:17 | INFO     | analysis.elliott.waves:__init__:53 | Инициализация анализатора волн Эллиота
2026-01-15 19:44:17 | INFO     | analysis.gaps.analyzer:__init__:52 | Инициализация анализатора гэпов
2026-01-15 19:44:17 | INFO     | analysis.gaps.analyzer:__init__:52 | Инициализация анализатора гэпов
2026-01-15 19:44:17 | INFO     | analysis.imbalances.analyzer:__init__:50 | Инициализация анализатора имбалансов
2026-01-15 19:44:17 | INFO     | analysis.imbalances.analyzer:__init__:50 | Инициализация анализатора имбалансов
2026-01-15 19:44:17 | INFO     | analysis.orderbook.analyzer:__init__:57 | Инициализация анализатора стакана
2026-01-15 19:44:17 | INFO     | analysis.orderbook.analyzer:__init__:57 | Инициализация анализатора стакана
2026-01-15 19:44:17 | INFO     | analysis.probability_calculator:__init__:54 | Инициализация калькулятора вероятности
2026-01-15 19:44:17 | INFO     | analysis.probability_calculator:__init__:55 | Веса модулей: Тех.анализ 20%, Паттерны 25%, Эллиот 15%
2026-01-15 19:44:17 | INFO     | data.history:__init__:47 | Инициализация исторических данных. Директория: C:\Users\vladp\Desktop\futures_bot\data\historical
